projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
2c56932e-10d8-415d-bd5a-5a6a660ed54b,PROD,QUE_219408,911532 ACT6E_FC_01,1,QUE_219408.xml,topic,Math,1,DUMMIES,What is the value of the sum of the interior angles of a triangle?,180&ordm;,01HWCZBD39Q86Q7HV835ATFBWG,
2c56932e-10d8-415d-bd5a-5a6a660ed54b,PROD,QUE_219409,911532 ACT6E_FC_02,2,QUE_219409.xml,topic,Math,1,DUMMIES,What is the formula for the area of a triangle?,"<img  alt=""Image"" src=""https://epdc.wiley.com/images/8a2dcd4e-2933-42cc-8e88-c32a617bdefd"" height=""42"" width=""67""/>",01HWCZBDM0QY4SAVDENNT577JG,
2c56932e-10d8-415d-bd5a-5a6a660ed54b,PROD,QUE_219410,911532 ACT6E_FC_03,3,QUE_219410.xml,topic,Math,1,DUMMIES,What is the formula for the Pythagorean theorem?,"<img  alt=""Image"" src=""https://epdc.wiley.com/images/3bce690d-510a-4911-b91a-1349bc248646"" height=""17"" width=""89""/><br/>where <em>a</em> and <em>b</em> are the measure of the legs of a right triangle and <em>c </em>is the measure of its hypotenuse",01HWCZBDTBXQHHPG6VGXCEGPRE,
2c56932e-10d8-415d-bd5a-5a6a660ed54b,PROD,QUE_219411,811527 ACT2022FD_FC-Ma_04,4,QUE_219411.xml,topic,Math,1,DUMMIES,What are the two commonly tested side ratios of right triangles (Pythagorean triples)?,3:4:5<br/>5:12:13,01HWCZBE0RFC1DSEY049H25J6X,
2c56932e-10d8-415d-bd5a-5a6a660ed54b,PROD,QUE_219412,911532 ACT6E_FC_05,5,QUE_219412.xml,topic,Math,1,DUMMIES,What is the ratio of the side measures of an isosceles right triangle?,"<img  alt=""Image"" src=""https://epdc.wiley.com/images/dfd8370d-ac63-4797-b6b3-3f2947cd8b6d"" height=""20"" width=""73""/><br/>where <em>s</em> is the measure of one of the equal legs",01HWCZBE7A5233BYA22RXER3FM,
2c56932e-10d8-415d-bd5a-5a6a660ed54b,PROD,QUE_219413,911532 ACT6E_FC_06,6,QUE_219413.xml,topic,Math,1,DUMMIES,What is the ratio of the side measures of a 30&ordm;&ndash;60&ordm;&ndash;90&ordm; triangle?,"<img  alt=""Image"" src=""https://epdc.wiley.com/images/75145a1a-b319-45b2-a553-7a211e7f8714"" height=""20"" width=""82""/><br/>where <em>s</em> is the measure of the shortest side",01HWCZBEE78VFJSZX2TKP1811G,
2c56932e-10d8-415d-bd5a-5a6a660ed54b,PROD,QUE_219414,911532 ACT6E_FC_07,7,QUE_219414.xml,topic,Math,1,DUMMIES,What is the formula for the area of a rectangle?,<em>A </em>= <em>lw</em>,01HWCZBESQ706557GFBH7QNX13,
2c56932e-10d8-415d-bd5a-5a6a660ed54b,PROD,QUE_219415,911532 ACT6E_FC_08,8,QUE_219415.xml,topic,Math,1,DUMMIES,What is the formula for the area of parallelogram?,<em>A </em>=<em> bh</em>,01HWCZBF05ZC8HZSER4A394R5H,
2c56932e-10d8-415d-bd5a-5a6a660ed54b,PROD,QUE_219416,911532 ACT6E_FC_09,9,QUE_219416.xml,topic,Math,1,DUMMIES,What is the formula for the area of a trapezoid?,"<img  alt=""Image"" src=""https://epdc.wiley.com/images/6a6df0b5-fe01-49ce-ad34-150dc6fa4ed1"" height=""42"" width=""125""/>",01HWCZBF6S2NNV2JCC2KRPE865,
2c56932e-10d8-415d-bd5a-5a6a660ed54b,PROD,QUE_219417,811527 ACT2022FD_FC-Ma_10,10,QUE_219417.xml,topic,Math,1,DUMMIES,What is the formula for the sum of the interior angles in a polygon?,<em>S</em> = (<em>n</em> &ndash; 2)180<br/><em>w</em>here <em>n</em> is the number of sides in the polygon,01HWCZBFDCZFEMP19975Q743MT,
2c56932e-10d8-415d-bd5a-5a6a660ed54b,PROD,QUE_219418,911532 ACT6E_FC_11,11,QUE_219418.xml,topic,Math,1,DUMMIES,What is the formula for the volume of a rectangular solid?,<em>V</em> = <em>lwh</em>,01HWCZBFKTQ20H540Z0D40EQEJ,
2c56932e-10d8-415d-bd5a-5a6a660ed54b,PROD,QUE_219419,911532 ACT6E_FC_12,12,QUE_219419.xml,topic,Math,1,DUMMIES,What is the formula for the volume of a right circular cylinder?,"<img  alt=""Image"" src=""https://epdc.wiley.com/images/aa1a25d5-53d6-4bf7-9cf3-5fb0cc490197"" height=""17"" width=""68""/>",01HWCZBFTKPV2B388Q8YDQJFY1,
2c56932e-10d8-415d-bd5a-5a6a660ed54b,PROD,QUE_219420,911532 ACT6E_FC_13,13,QUE_219420.xml,topic,Math,1,DUMMIES,What is the formula for the area of a circle?,"<img  alt=""Image"" src=""https://epdc.wiley.com/images/002f1fc5-0ccc-4dd9-8e43-8cc035b3eacf"" height=""17"" width=""58""/>",01HWCZBG11XWGH0WMT1J79KB9S,
2c56932e-10d8-415d-bd5a-5a6a660ed54b,PROD,QUE_219421,911532 ACT6E_FC_14,14,QUE_219421.xml,topic,Math,1,DUMMIES,What is the formula for the circumference of a circle?,"<img  alt=""Image"" src=""https://epdc.wiley.com/images/ae2f2795-9d6e-44ae-9757-a29d979d7db4"" height=""14"" width=""62""/>",01HWCZBG6TDDR2C8MAXE5NXV2J,
