projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,0db9e55e-802e-4639-b231-8d51b7d2356a,fc855835.AzDaFuSG.001,1,fc855835.AzDaFuSG.001.xml,coursewide,,,SYBEX,Data that is stored in JSON format can be described as what type of data?,Semi&hyphen;structured,01J0JRS9N4MPNCPHR822QSQZY5,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,acca5842-7b4b-473c-bb90-a13c09472524,fc855835.AzDaFuSG.002,2,fc855835.AzDaFuSG.002.xml,coursewide,,,SYBEX,True or False: Stream processing is the only logical component of a real&hyphen;time data processing solution.,"False. In addition to stream processing, real&hyphen;time data processing solutions include real&hyphen;time message ingestion engines, an analytical data store, and reporting.",01J0JRSA6SCWBKW3NM4RYX2RB7,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,ba68763b-7789-498e-a622-e12cf8ce0c60,fc855835.AzDaFuSG.003,3,fc855835.AzDaFuSG.003.xml,coursewide,,,SYBEX,A __________________ is a data store that provides the single source of truth for different functional areas within a business.,Data warehouse,01J0JRSAJ8DNF084TBPDD5KN7Y,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,4bf5b23d-39d2-4daf-a2e5-0991e4efa362,fc855835.AzDaFuSG.004,4,fc855835.AzDaFuSG.004.xml,coursewide,,,SYBEX,What are the four Vs of big data?,"Variety, velocity, volume, and value",01J0JRSAXWC3JE4S4VSQMR0387,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,349304c4-e199-4c63-be1d-8e5e36423eab,fc855835.AzDaFuSG.005,5,fc855835.AzDaFuSG.005.xml,coursewide,,,SYBEX,Which data manipulation pattern requires the transformation and storage components to be in the same engine?,"Extract, load, transform (ELT)",01J0JRSBEGYMEJ84GCPB6DYA79,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,7f818a5d-923a-428a-938f-8b70c81ef67e,fc855835.AzDaFuSG.006,6,fc855835.AzDaFuSG.006.xml,coursewide,,,SYBEX,"True or False: One of the core principles of data solutions that use a Lambda architecture is that raw data is immutable, meaning that it is never overwritten.","True. Data remains immutable in a Lambda architecture, taking advantage of scalable cloud storage solutions such as Azure Blob Storage to store data in several stages.",01J0JRSBT10Q744EX8XZCTWJFB,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,8b9a2763-d980-4755-a2ac-dbf3c18aebc7,fc855835.AzDaFuSG.007,7,fc855835.AzDaFuSG.007.xml,coursewide,,,SYBEX,What is Azure&rsquo;s MPP data warehouse service?,Azure Synapse Analytics dedicated SQL pools,01J0JRSC2KBW7DNP9WNVYTKAWT,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,aad5b344-3507-48ed-80b8-2a290a182ad2,fc855835.AzDaFuSG.008,8,fc855835.AzDaFuSG.008.xml,coursewide,,,SYBEX,What service on Azure is a fully managed Spark service that provides a workspace for Spark development and has first&hyphen;party integration with Azure services such as Azure Active Directory?,Azure Databricks,01J0JRSCDHP36XN0B0PWF80CPR,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,37493c36-31d2-4969-8a33-4daadebdb9c3,fc855835.AzDaFuSG.009,9,fc855835.AzDaFuSG.009.xml,coursewide,,,SYBEX,The Azure Cosmos DB Cassandra API is an example of what kind of NoSQL data store?,Columnar database,01J0JRSCRX7TTAQ457NNNW4Q4M,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,b9a72f5d-45c9-4b7c-bc56-64538db9f904,fc855835.AzDaFuSG.010,10,fc855835.AzDaFuSG.010.xml,coursewide,,,SYBEX,What are the no&hyphen;code data transformation components in Azure Data Factory?,Mapping data flows and Power Query,01J0JRSD3W25VE9AED83F0CG93,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,392fb2c3-337e-4303-ad20-2e113083c8c4,fc855835.AzDaFuSG.011,11,fc855835.AzDaFuSG.011.xml,coursewide,,,SYBEX,______________ are used to ensure the orderly processing of tasks in a data pipeline.,Control flows,01J0JRSDEGMAJN6KBYA2E3884Z,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,629ac103-0dc7-4f2a-85cb-8402786a181f,fc855835.AzDaFuSG.012,12,fc855835.AzDaFuSG.012.xml,coursewide,,,SYBEX,______________________ analytics involves using historical data to build statistical and machine learning models to forecast what will happen in the future.,Predictive,01J0JRSDQBZXKT367VWDFHZE91,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,6069d723-5b46-45e2-9699-f50bcc0fc60b,fc855835.AzDaFuSG.013,13,fc855835.AzDaFuSG.013.xml,coursewide,,,SYBEX,______________________ analytics combine several artificial intelligence and machine learning techniques such as deep learning and natural language processing to draw inferences from existing data and patterns.,Cognitive,01J0JRSE24Q5WZPVJTGCQ5GZ4Y,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,e725e15a-d629-4572-b622-9a6dad3982aa,fc855835.AzDaFuSG.014,14,fc855835.AzDaFuSG.014.xml,coursewide,,,SYBEX,Which chart type represent how a series of values change over time?,Line chart,01J0JRSEB3H32T8TZWDYZGVQ38,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,3ca3593f-dcce-4ff2-8911-03c776d33bd3,fc855835.AzDaFuSG.015,15,fc855835.AzDaFuSG.015.xml,coursewide,,,SYBEX,Which chart type show the relationship between two numerical values?,Pie chart,01J0JRSENS4QAY5GCX21XRNBT7,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,8ecd0498-b596-4dbf-9e99-166f836ab25f,fc855835.AzDaFuSG.016,16,fc855835.AzDaFuSG.016.xml,coursewide,,,SYBEX,What type of data visualization tool give analysts the ability to organize data into informational summaries to monitor how different areas of the organization are performing?,Reporting tools,01J0JRSEY6EEVJ46ZSHQDM79WG,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,eca044d4-430c-4be5-a76a-d064d2980c68,fc855835.AzDaFuSG.017,17,fc855835.AzDaFuSG.017.xml,coursewide,,,SYBEX,What scalable file system is Azure Data Lake Store Gen2 based on?,Hadoop Distributed File System (HDFS),01J0JRSF92Y2D8AXHGS1HR5YJ7,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,3b1ada0c-33bd-4f26-be85-e7f697a12161,fc855835.AzDaFuSG.018,18,fc855835.AzDaFuSG.018.xml,coursewide,,,SYBEX,______________________ provides a no&hyphen;code solution for citizen developers to perform data transformations in Azure Data Factory.,Power Query,01J0JRSFJ39PGSG6MHPXFY70RX,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,99652611-2b10-46b5-997b-5a9c35d83994,fc855835.AzDaFuSG.019,19,fc855835.AzDaFuSG.019.xml,coursewide,,,SYBEX,______________________ properties ensure data integrity in transactional databases.,"ACID (atomicity, consistency, isolation, durability)",01J0JRSFYBWJD5KZEFQTFM3VXD,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,ebe3f80f-10c1-4ddd-8e17-e9bfd70ec10b,fc855835.AzDaFuSG.020,20,fc855835.AzDaFuSG.020.xml,coursewide,,,SYBEX,What is the default isolation level for SQL Server and Azure SQL Database?,Read Committed,01J0JRSG8V078ADRE0TK78P6X8,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,06582241-c491-4be3-8e85-a4e69b054550,fc855835.AzDaFuSG.021,21,fc855835.AzDaFuSG.021.xml,coursewide,,,SYBEX,"Which type of data normalization involves eliminating repeating groups in individual tables, creating separate tables for each set of related data, identifying each set of related data with a primary key, relating tables with a foreign key, and eliminating fields in tables that do not depend on the foreign key?",Third normal form (3NF),01J0JRSGSQWBZ2TKRNFKZYWFDX,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,9b324b6c-4d44-4dcb-868b-d0b3d6f15581,fc855835.AzDaFuSG.022,22,fc855835.AzDaFuSG.022.xml,coursewide,,,SYBEX,Higher forms of data normalization such as 3NF are typically used for which type of relational database workload?,Transactional,01J0JRSH260MBXYS4JKFFPFT6Q,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,7b2eae98-b20f-4b73-a034-338d9dd92130,fc855835.AzDaFuSG.023,23,fc855835.AzDaFuSG.023.xml,coursewide,,,SYBEX,What is a common design pattern for data warehouses and OLAP models that classify tables as dimension and fact tables?,Star schema,01J0JRSHAXM1QJCC4EKE31SVQ8,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,87f7dd25-56f8-478d-9513-c8ca43449ffc,fc855835.AzDaFuSG.024,24,fc855835.AzDaFuSG.024.xml,coursewide,,,SYBEX,True or False: Local temporary tables are visible to any user after they are created and are deleted when all user sessions referencing the table are disconnected.,False. Local temporary tables are only visible to the user session they are created in and are dropped when the session is disconnected.,01J0JRSHKYG4GM3804A40WHJW0,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,8940d8c7-2730-4371-867c-dee6c4effc15,fc855835.AzDaFuSG.025,25,fc855835.AzDaFuSG.025.xml,coursewide,,,SYBEX,What type of relational database structure provides a virtual layer over multiple tables to allow users to easily query the data they need without needing to continuously write complex queries with multiple join and aggregation operations?,Views,01J0JRSHWF8CX59JG1Q02QK39E,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,34188b59-90dd-4142-b25d-116365d9fd5d,fc855835.AzDaFuSG.026,26,fc855835.AzDaFuSG.026.xml,coursewide,,,SYBEX,True or False: Clustered indexes physically sort and store data based on their values.,TRUE,01J0JRSJ572KZ9KEJBY2583F74,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,9ab7f0cc-dde4-4d47-8522-56077f3520a3,fc855835.AzDaFuSG.027,27,fc855835.AzDaFuSG.027.xml,coursewide,,,SYBEX,"What type of database objects consist of T&hyphen;SQL code that will run in response to a specific event such as a DDL, DML, or login action?",Trigger,01J0JRSJGCGRX0MQ3RW2VGMSYV,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,e14ceda3-3802-4383-aa83-6e96eca9fd0d,fc855835.AzDaFuSG.028,28,fc855835.AzDaFuSG.028.xml,coursewide,,,SYBEX,What are the three categories of cloud services that can be deployed in Azure?,"Infrastructure as a Service (IaaS), Platform as a Service (PaaS), Software as a Service (SaaS)",01J0JRSJV3GAW0HTH22ZKBG714,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,89a17b15-0923-48f5-8967-d309f69a79dc,fc855835.AzDaFuSG.029,29,fc855835.AzDaFuSG.029.xml,coursewide,,,SYBEX,Which Azure SQL offering falls under the IaaS category of cloud services?,SQL Server on Azure Virtual Machine,01J0JRSK4CVWRQC2BBZ14DY3N2,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,8e414e4b-e584-4ade-8afc-f2199314eaf2,fc855835.AzDaFuSG.030,30,fc855835.AzDaFuSG.030.xml,coursewide,,,SYBEX,True or False: Each Azure SQL offering includes hybrid licensing benefits that allow organizations to apply on&hyphen;premises SQL Server licenses to reduce the cost of the service.,TRUE,01J0JRSKDTW96VCQN60Q8JCGFS,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,208e1b9b-941d-4131-b04d-d0119920c5c9,fc855835.AzDaFuSG.031,31,fc855835.AzDaFuSG.031.xml,coursewide,,,SYBEX,What VM category is the Microsoft recommended choice for SQL Server on Azure VMs?,Memory Optimized,01J0JRSM3807V68F5DAWN3VDFE,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,bcd2b107-0e4f-4764-82ed-3fbdfb80af42,fc855835.AzDaFuSG.032,32,fc855835.AzDaFuSG.032.xml,coursewide,,,SYBEX,Which PaaS database offering on Azure provides near 100% feature compatibility with SQL Server?,Azure SQL Managed Instance (MI),01J0JRSMBAQRQWRYQP8B5D40X4,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,38146fd7-7cee-499b-a135-3600d96a6cd9,fc855835.AzDaFuSG.033,33,fc855835.AzDaFuSG.033.xml,coursewide,,,SYBEX,What are the two service tiers available for Azure SQL MI?,General Purpose and Business Critical,01J0JRSMVNV96N2CQPRVZ9VPC5,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,44cd3eee-0301-42d7-872f-a1c9091355ba,fc855835.AzDaFuSG.034,34,fc855835.AzDaFuSG.034.xml,coursewide,,,SYBEX,True or False: The subnet hosting an instance of Azure SQL MI can host other Azure services.,FALSE,01J0JRSN6DR1MVF90G1B9EDYXJ,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,3a56f741-510d-4d2b-81f2-54a778a91958,fc855835.AzDaFuSG.035,35,fc855835.AzDaFuSG.035.xml,coursewide,,,SYBEX,"Which Azure SQL Database deployment option represents a collection of databases with a shared set of resources, such as CPU or memory?",Elastic pool,01J0JRSNFF8SHWBAN0VVBPXYHY,
bc9c4bfb-d976-4445-b258-f5d0fe417fbf,PROD,b36574ef-d394-4d12-98ce-5d5180225d9f,fc855835.AzDaFuSG.036,36,fc855835.AzDaFuSG.036.xml,coursewide,,,SYBEX,"Which Azure SQL Database purchasing model provides the most resource options by allowing users to choose the number of vCores, the amount of memory, and storage speed?",The vCore&hyphen;based purchasing model,01J0JRSNRH8REHGK9QNXJ5JMCN,
